model_family,number,value,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state,user_attrs_mean_predicted_uplift,user_attrs_policy_gain_top10,user_attrs_policy_gain_top20,user_attrs_policy_gain_top30,user_attrs_positive_uplift_rate,user_attrs_qini_auc,user_attrs_resolved_params,user_attrs_treatment_response_auc,user_attrs_uplift_auc,params_C,params_class_weight,params_penalty
ft_transformer,30,0.1817105829393323,1024.0,0.26572051682391906,64.0,128.0,0.00019390299833619095,2.0,4.0,4.0449138230102684e-06,COMPLETE,0.00038087502822289866,0.009384595330156821,0.004928406142248071,0.0034155766720671207,0.2676042232968039,0.1817105829393323,"{'embedding_dim': 64, 'num_layers': 4, 'num_heads': 2, 'dropout': 0.26572051682391906, 'hidden_dim': 128, 'learning_rate': 0.00019390299833619095, 'weight_decay': 4.0449138230102684e-06, 'batch_size': 1024}",0.9320546791520441,0.0058795046739056915,,,
ft_transformer,31,0.17868227121196342,1024.0,0.1687291965944864,64.0,128.0,0.00019193963500546105,2.0,4.0,3.040526584646228e-05,COMPLETE,0.0005186355838643995,0.007872358393169212,0.0046638199025419175,0.0033806557844188066,1.0,0.17868227121196342,"{'embedding_dim': 64, 'num_layers': 4, 'num_heads': 2, 'dropout': 0.1687291965944864, 'hidden_dim': 128, 'learning_rate': 0.00019193963500546105, 'weight_decay': 3.040526584646228e-05, 'batch_size': 1024}",0.9481932067957106,0.005787548620513375,,,
ft_transformer,32,0.1778968942709933,1024.0,0.18010656756185237,64.0,128.0,0.0002699778258382079,2.0,4.0,3.811797343963963e-05,COMPLETE,0.0007186651465817273,0.007974940116369515,0.004841209029353359,0.0034143948802226026,0.9808721279578815,0.1778968942709933,"{'embedding_dim': 64, 'num_layers': 4, 'num_heads': 2, 'dropout': 0.18010656756185237, 'hidden_dim': 128, 'learning_rate': 0.0002699778258382079, 'weight_decay': 3.811797343963963e-05, 'batch_size': 1024}",0.948053313320254,0.005766089585786875,,,
ft_transformer,33,0.20275786107091032,1024.0,0.1810702359778394,64.0,128.0,0.00013279254865404967,2.0,3.0,9.469477533062197e-05,COMPLETE,0.00027274827120780487,0.009048341102217854,0.0052931942511099585,0.0037527518106626337,0.2298968973838069,0.20275786107091032,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.1810702359778394, 'hidden_dim': 128, 'learning_rate': 0.00013279254865404967, 'weight_decay': 9.469477533062197e-05, 'batch_size': 1024}",0.943785844798533,0.006593996882732929,,,
ft_transformer,34,0.18434479513347574,1024.0,0.1896618622184691,64.0,128.0,0.0001327369084695475,2.0,3.0,9.108027119057536e-05,COMPLETE,0.000227606445498805,0.00873925636380058,0.004824961793780976,0.0034369589631073174,0.5891441815216458,0.18434479513347574,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.1896618622184691, 'hidden_dim': 128, 'learning_rate': 0.0001327369084695475, 'weight_decay': 9.108027119057536e-05, 'batch_size': 1024}",0.9441628774530806,0.0059792903554871015,,,
ft_transformer,35,0.1838235632523675,1024.0,0.21062480013989818,64.0,256.0,0.0001288772848070421,4.0,3.0,0.00023826541255628426,COMPLETE,0.00015062902644962184,0.00920176385889129,0.004810846672840669,0.003386808186502551,0.9587351092544374,0.1838235632523675,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 4, 'dropout': 0.21062480013989818, 'hidden_dim': 256, 'learning_rate': 0.0001288772848070421, 'weight_decay': 0.00023826541255628426, 'batch_size': 1024}",0.9477964206288402,0.005959896121958214,,,
ft_transformer,36,0.18024392161423453,1024.0,0.08693897537349607,96.0,128.0,0.0003132709074129539,2.0,2.0,5.180662262315661e-05,COMPLETE,0.0008818228026386897,0.007864246306457361,0.004769833512833823,0.0033237107723874844,0.9964233597527826,0.18024392161423453,"{'embedding_dim': 96, 'num_layers': 2, 'num_heads': 2, 'dropout': 0.08693897537349607, 'hidden_dim': 128, 'learning_rate': 0.0003132709074129539, 'weight_decay': 5.180662262315661e-05, 'batch_size': 1024}",0.9498150120340664,0.005839850866763983,,,
ft_transformer,37,0.18120198141215252,2048.0,0.1633299606312293,32.0,256.0,0.0002551924136846207,4.0,3.0,0.00012041553825161535,COMPLETE,0.000513664170220703,0.007753884576165038,0.004800428144852379,0.0033806557844188066,0.7491964481577918,0.18120198141215252,"{'embedding_dim': 32, 'num_layers': 3, 'num_heads': 4, 'dropout': 0.1633299606312293, 'hidden_dim': 256, 'learning_rate': 0.0002551924136846207, 'weight_decay': 0.00012041553825161535, 'batch_size': 2048}",0.9491563692631712,0.005870570773909572,,,
ft_transformer,38,0.17517005527171567,1024.0,0.14774094122611625,64.0,128.0,0.00016937292939858152,2.0,2.0,8.10793398970486e-05,COMPLETE,0.0005725465927622662,0.0070719724674478575,0.004514278550156457,0.003322286116163976,1.0,0.17517005527171567,"{'embedding_dim': 64, 'num_layers': 2, 'num_heads': 2, 'dropout': 0.14774094122611625, 'hidden_dim': 128, 'learning_rate': 0.00016937292939858152, 'weight_decay': 8.10793398970486e-05, 'batch_size': 1024}",0.947890203850221,0.005670232144936715,,,
ft_transformer,39,0.17650950894009723,1024.0,0.08912697740437477,96.0,128.0,0.00014580613132168595,2.0,3.0,0.00044806537372608083,COMPLETE,7.548421800329773e-05,0.007537531658166497,0.004770479083029732,0.003523448338847275,0.7816818793098514,0.17650950894009723,"{'embedding_dim': 96, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.08912697740437477, 'hidden_dim': 128, 'learning_rate': 0.00014580613132168595, 'weight_decay': 0.00044806537372608083, 'batch_size': 1024}",0.9493735966158535,0.005717878867481432,,,
